Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,72.34409291331426,0.11667771734360875,72.3454929769535,72.30234032838601,72.3858454982425,207,0,207,207,207,9.000000000000341,0,9.000000000000341,9.000000000000341,9.000000000000341,445.8583333333372,0.48103396777522794,445.5000000000098,445.6861975386871,446.0304691279873,451.6000000000098,3.871647604359664,449.50000000001467,450.21454869796565,452.98545130205395,460.50000000001006,1.812976604635034e-12,460.50000000001035,460.50000000000944,460.5000000000107,116.98417403655546,0.35932876823388166,116.91462347506686,116.85558988823293,117.11275818487799,663.1852963013278,1.8709273435469254,663.6938042638103,662.5157935497787,663.8547990528768,211.15362068856106,1.064650048464761,211.10995107820054,210.77264056159757,211.53460081552456,0.17074500969076686,0.0020385487288865855,0.17069310907397905,0.17001552439682222,0.1714744949847115,0.7839999999999941,0.06071982008968716,0.7749999999999915,0.7622716914348199,0.8057283085651684
AIMD,26.19504068366744,0.28663415507524065,26.1873039683622,26.09246996857649,26.297611398758388,188.56666666666666,5.876213496587005,188,186.4638906725993,190.66944266073403,9.016666666667087,0.09128709291796355,9.000000000000341,8.984000000000265,9.049333333333909,281.52666666666835,1.6254300933936243,281.5000000000083,280.9450139778394,282.1083193554973,354.7000000000042,3.86317718089953,355.50000000000284,353.31757980006716,356.0824201999412,396.266366666671,8.409370383105463,398.50000000001273,393.2571121225524,399.27562121078955,46.82926084859347,0.4232737213238786,46.782897670138496,46.67779429268355,46.98072740450339,673.8472960891964,2.3663240002569172,673.4760670939381,673.0005179207695,674.6940742576234,224.96799593044364,1.258206239201032,224.70398317164242,224.5177526101636,225.41823925072367,0.15741596567630062,0.0019418883694361474,0.15742048061464375,0.1567210698477572,0.15811086150484405,0.2099999999999947,0.24727131545789444,0.07749999999999346,0.12151509616382178,0.2984849038361676
PIE,34.24612482385563,0.10518861713271219,34.23326060275467,34.20848356063667,34.28376608707459,199.86666666666667,5.697751119177805,201,197.82775261418433,201.90558071914901,8.416666666672276,0.49276372832159604,8.000000000009777,8.240333431117847,8.592999902226705,321.73333333333454,22.639122886222246,323.50000000000637,313.63202725254985,329.83463941411924,379.66666666666566,17.168703148931392,385.4999999999968,373.52292514811626,385.81040818521507,430.4690666666656,10.899966997524066,431.4999999999998,426.5685635702698,434.36956976306135,59.64301617389307,0.2180558217572175,59.586104615667,59.564985900210196,59.72104644757595,661.6846220282548,1.955823029643866,662.0664575662338,660.9847397455965,662.3845043109131,210.3659975002386,1.165293371365842,210.14980826881805,209.94900262270784,210.78299237776935,0.1726219832568235,0.001947506273607918,0.17254732593265948,0.17192507708709076,0.17331888942655627,0.19549999999999604,0.13156452461789045,0.16749999999999687,0.14842023950489663,0.24257976049509544
P-DARC,32.888304013818804,0.09481510996046315,32.87972180553662,32.85437486246725,32.922233165170354,91,0,91,91,91,9.38333333333278,0.48571549309128254,9.000000000000341,9.209522276363499,9.557144390302062,208.50000000000088,8.672275743872566e-14,208.5000000000008,208.50000000000085,208.5000000000009,209.50000000000549,8.672275743872566e-14,209.50000000000557,209.50000000000546,209.5000000000055,209.50000000001992,1.4453792906454275e-13,209.50000000001978,209.50000000001987,209.50000000001998,56.43000900661934,0.1844720773823078,56.443851090989625,56.36399652151809,56.4960214917206,679.039653317552,2.2347652603221215,678.9990454111313,678.2399528395979,679.8393537955062,218.9319717062187,1.28472307180352,218.8205955497133,218.47223945925694,219.39170395318044,0.15092265349281067,0.0020115709266654083,0.1508531813924322,0.15020282208140728,0.15164248490421406,0.37699999999999817,0.07054712291598969,0.355000000000004,0.3517550362823891,0.40224496371760726
P-DARC-noI,33.5325514796127,0.0571695228303468,33.53020591845084,33.512093628605456,33.55300933061994,91.73333333333333,0.5832922809856745,92,91.52460487125586,91.94206179541081,9.433333333332781,0.5040069329926938,9.000000000000341,9.252976768657907,9.613689898007655,208.50000000000088,8.672275743872566e-14,208.5000000000008,208.50000000000085,208.5000000000009,209.50000000000549,8.672275743872566e-14,209.50000000000557,209.50000000000546,209.5000000000055,210.10000000001827,2.2833731853160075,209.50000000001978,209.2829053994956,210.91709460054093,57.37434746864137,0.14811100096605745,57.36931283136192,57.32134662762876,57.42734830965397,679.1087473672816,2.2433397209807806,679.0626846674613,678.3059785579869,679.9115161765762,218.83983104194064,1.2483587373104776,218.77060471857084,218.39311160495535,219.28655047892593,0.15083623691492115,0.002035043538197942,0.1507677189715012,0.1501080059373554,0.1515644678924869,0.37699999999999817,0.07054712291598969,0.355000000000004,0.3517550362823891,0.40224496371760726
