Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,191.46442565571158,0.16429219230482245,191.4543161052775,191.40563444974333,191.52321686167983,211,0,211,211,211,329.8666666666672,0.34574590363608815,329.9999999999983,329.7429430840173,329.99039024931704,346.66666666666794,0.4794633014826492,346.9999999999942,346.49509292773223,346.83824040560364,351.30000000000143,0.4660915996981483,351.0000000000026,351.1332112630961,351.4667887369068,356.9674000000015,0.6150021362416364,356.9999999999993,356.7473243119517,357.1874756880513,328.1030327831583,0.2759082934944509,328.1066475696813,328.00430026834056,328.20176529797607,599.8363561980091,1.156303432516342e-13,599.836356198009,599.8363561980091,599.8363561980091,400.02724328042376,2.312606865032684e-13,400.027243280424,400.0272432804237,400.0272432804238,0.2497292927040423,0.002642826075312298,0.24998153507555207,0.24878356953879485,0.25067501586928975,0,0,0,0,0
AIMD,71.0993090595027,0.42477496234437867,70.9928405836629,70.94730529139295,71.25131282761245,196.9,3.516954011249134,196,195.64147417016264,198.15852582983737,132.13333333333523,1.306042543884,132.000000000005,131.6659720112687,132.60069465540175,267.6666666666685,1.6470105276402032,268.0000000000007,267.077291518623,268.256041814714,294.3490000000036,3.0484980473700083,295.0000000000017,293.2581089839277,295.43989101607957,313.5281333333356,3.6028641550212264,314.00000000001427,312.23886495337206,314.8174017132991,134.25607888857886,0.7922026151850465,134.15982078002278,133.97259282351058,134.53956495364713,566.8687970665335,0.6944950096380645,566.8303104686577,566.6202752190692,567.1173189139978,389.92702315550326,0.21246695525424156,389.93021773804105,389.8509928320134,390.00305347899314,0.2909604120695819,0.00305627730347352,0.2909388144055242,0.28986673728246093,0.29205408685670287,0,0,0,0,0
PIE,64.3173371516887,0.09245625458968909,64.30928678576299,64.28425210589084,64.35042219748657,136.76666666666668,3.7571387988764777,137,135.4221918144093,138.11114151892406,116.56666666666888,0.56832077715058,116.99999999999022,116.36329568843331,116.77003764490445,189.43333333333504,6.032574410895519,191.49999999999423,187.2746043046801,191.59206236198997,208.51533333333694,5.05202092259038,209.2300000000115,206.70749086408028,210.3231758025936,224.43900000000016,4.720174470767476,225.9999999999991,222.74990725844057,226.12809274155975,116.29177035909602,0.14348866911250918,116.28881396881842,116.24042359829407,116.34311711989797,599.5887691864783,0.16869805113579533,599.618164462021,599.5284013641757,599.6491370087809,399.86850912140176,0.10264544782943544,399.87250153249715,399.83177791963016,399.90524032317336,0.25033923221938215,0.0028369408919903453,0.25055665526337845,0.24932404595909222,0.2513544184796721,0,0,0,0,0
P-DARC,83.25186599390882,0.16750653308441843,83.24232919678167,83.19192455086494,83.3118074369527,111.8,1.3995073024658256,112,111.29919274361689,112.30080725638311,142.4333333333371,0.6789105539203445,142.00000000001012,142.1903883117289,142.67627835494528,179.9999999999986,4.5341619764064e-12,179.99999999999972,179.999999999997,180.00000000000023,185.73333333333497,0.4497764451026444,185.99999999999284,185.57238289952107,185.89428376714886,191.7348000000026,0.6920991756700132,191.99999999999324,191.48713549071306,191.98246450929213,147.74883675108742,0.2803822496839356,147.73130086845816,147.64850325160847,147.84917025056637,599.8363561980091,1.156303432516342e-13,599.836356198009,599.8363561980091,599.8363561980091,400.02724328042376,2.312606865032684e-13,400.027243280424,400.0272432804237,400.0272432804238,0.24968837391930512,0.0026416958446279252,0.2499247126966715,0.2487430552019138,0.25063369263669644,0,0,0,0,0
P-DARC-noI,100.26978499022682,0.2586376621893779,100.25569344061094,100.17723269144983,100.36233728900382,129.1,1.3982747990981967,129.5,128.5996337892827,129.60036621071728,180.03333333333492,0.41384099339384306,179.99999999999972,179.8852422357642,180.18142443090565,201.40000000000086,0.498272879120295,201.00000000000762,201.22169534015185,201.57830465984986,207.93333333333692,0.2537081317013239,207.9999999999984,207.8425450443901,208.02412162228373,212.1333333333386,0.6814453874570425,212.0000000000033,211.8894812331988,212.37718543347842,176.109390866791,0.4328850638846006,176.09646251079891,175.95448493611718,176.2642967974648,599.8363561980091,1.156303432516342e-13,599.836356198009,599.8363561980091,599.8363561980091,400.02724328042376,2.312606865032684e-13,400.027243280424,400.0272432804237,400.0272432804238,0.24970316554644983,0.002638375826087441,0.24994175873240224,0.24875903488243523,0.25064729621046444,0,0,0,0,0
