Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,186.52800581844627,0.254487772827947,186.57575344333833,186.43693853850536,186.6190730983872,212,0,212,212,212,245.90000000000356,0.40257789993029197,246.00000000000134,245.75593934866623,246.04406065134089,269.0500000000042,0.3737046593388611,269.0000000000001,268.91627150511795,269.1837284948905,276.2666666666683,0.4497764451067778,276.00000000000693,276.1057162328529,276.4276171004837,284.7235166666684,0.5977021874522244,284.7500000000025,284.50963168578636,284.9374016475504,246.38779749126823,0.32962823210588676,246.46058784622704,246.26984154330248,246.50575343923398,783.4810673212329,4.625213730065368e-13,783.4810673212324,783.4810673212328,783.481067321233,375.21792701054613,0,375.21792701054613,375.21792701054613,375.21792701054613,0.1291756744084004,0.0025259291695884072,0.1295884625519501,0.12827178226363573,0.13007956655316505,0,0,0,0,0
AIMD,77.85921632801491,0.9752223584763247,77.79885449338607,77.51023748892527,78.20819516710455,201.3,2.6149437918400382,201,200.36425438175274,202.23574561824728,111.8666666666663,2.6094435043321167,112.00000000000188,110.93288930102572,112.80044403230688,218.90000000000316,1.2958820721136344,218.99999999999721,218.43627455606455,219.36372544394177,237.7250000000034,1.450846958346833,237.99999999999955,237.20582108370817,238.24417891629864,256.30670000000157,2.235962635399216,256.4999999999955,255.50657104687897,257.1068289531242,112.49383602277784,1.2555283744714858,112.55088767611863,112.04455096408444,112.94312108147125,746.0354258526839,1.5995170433815618,746.1975544342861,745.4630460297116,746.6078056756563,380.8649592292655,0.3874977817739138,380.81585076021867,380.72629492890576,381.0036235296252,0.17067744700366635,0.0037177218749734424,0.171133590184536,0.16934707731647683,0.17200781669085588,0,0,0,0,0
PIE,70.48734033365152,0.43668771948278245,70.51295513432429,70.33107364014799,70.64360702715504,112.66666666666667,1.7875688235283633,112,112.02699337841022,113.30633995492312,98.90000000000046,0.6074253182382623,98.99999999999842,98.68263564145188,99.11736435854904,127.93333333333571,1.0148325268090777,128.0000000000001,127.57018017754716,128.29648648912428,138.06666666666985,0.980265035704096,138.00000000000523,137.7158833287092,138.4174500046305,148.24646666666882,1.7367974239844555,148.74999999999972,147.62496169040583,148.86797164293182,98.2463825293865,0.5588933279504571,98.2655519326054,98.04638512052087,98.44637993825212,783.4810673212329,4.625213730065368e-13,783.4810673212324,783.4810673212328,783.481067321233,375.21792701054613,0,375.21792701054613,375.21792701054613,375.21792701054613,0.1291711818920114,0.0024503003478811244,0.12983922379415724,0.12829435317352253,0.13004801061050028,0,0,0,0,0
P-DARC,119.039688167644,0.23169163829315653,119.06525296604391,118.95677837968073,119.12259795560728,155.23333333333332,1.6333450621206842,155,154.6488483093207,155.81781835734594,158.76666666666824,0.4301830671451498,158.99999999999892,158.6127276331099,158.9206057002266,183.06666666666916,0.4497764451051498,182.99999999999983,182.90571623285436,183.22761710048397,188.8666666666684,0.507416263401335,189.00000000000006,188.68509008877527,189.04824324456155,194.26073333333747,0.6767118234158014,194.00000000000438,194.01857511733547,194.50289154933947,160.23415797352024,0.2958963841280529,160.25606006103575,160.12827281232975,160.34004313471073,783.4810673212329,4.625213730065368e-13,783.4810673212324,783.4810673212328,783.481067321233,375.21792701054613,0,375.21792701054613,375.21792701054613,375.21792701054613,0.12918243529292195,0.0025182183855600657,0.12956648284432773,0.1282813024167849,0.130083568169059,0,0,0,0,0
P-DARC-noI,132.75264784762945,0.4120711863707779,132.76258011727805,132.60519006736828,132.9001056278906,169.16666666666666,1.6206285143761954,169.5,168.58673220082218,169.74660113251113,178.76666666666935,0.5290416405813211,178.75000000000796,178.57735154693748,178.95598178640122,199.26666666666958,0.5832922809847075,199.00000000000693,199.05793820459246,199.4753951287467,204.7666666666687,0.7738543627246446,204.9999999999983,204.48974643941915,205.04358689391825,209.89166666666858,0.7590923951424202,209.9999999999991,209.62002894167583,210.16330439166134,177.74482762621983,0.5276695999108426,177.7552477981875,177.55600348493633,177.93365176750333,783.4810673212329,4.625213730065368e-13,783.4810673212324,783.4810673212328,783.481067321233,375.21792701054613,0,375.21792701054613,375.21792701054613,375.21792701054613,0.12919791736773453,0.002523571891547872,0.12955638392590002,0.1282948687640832,0.13010096597138587,0,0,0,0,0
