Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,0,0,0,0,0,0,0,0,0,0,7.0000000000014495,0,7.0000000000014495,7.0000000000014495,7.0000000000014495,14.000000000010004,0,14.000000000010004,14.000000000010004,14.000000000010004,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,7.202092613781979,0.010770464752404544,7.203477363855505,7.198238452468838,7.2059467750951205,853.6175886782702,2.079446981798228,853.9660893676953,852.8734681324798,854.3617092240605,184.7733417726129,1.5515914794940167,184.5586256832391,184.21811189242314,185.32857165280265,0.19062507090263386,0.001930987039425558,0.19095416549569044,0.1899340760649348,0.19131606574033294,0.009999999999990905,0,0.009999999999990905,0.009999999999990905,0.009999999999990905
AIMD,57.78936315287059,0.8282397794664502,57.90951861448248,57.4929813541825,58.08574495155869,190.63333333333333,1.1885468767200218,191,190.20801729577917,191.05864937088748,13.000000000004873,1.084035973586453e-12,13.00000000000523,13.000000000004485,13.00000000000526,185.86666666666716,0.3457459036367972,185.99999999999994,185.74294308401707,185.99039024931724,193.16666666666933,0.3790490217861982,193.0000000000085,193.0310257162427,193.30230761709595,199.3999999999998,0.7239737087983918,199.000000000003,199.1409293355181,199.6590706644815,73.43542199595704,0.9741933040189418,73.62890196444417,73.08681139927569,73.7840325926384,874.1191266269647,2.483668308518324,874.1260966407519,873.230357337113,875.0078959168163,176.50330034716777,1.783157730353806,176.30217575972688,175.8652055483315,177.14139514600404,0.17118738451817925,0.002166976101124918,0.17156041211339096,0.1704119420793009,0.17196282695705759,0.7219999999999961,0.13478335106435696,0.7449999999999903,0.6737683972539931,0.7702316027459991
PIE,0,0,0,0,0,0,0,0,0,0,7.0000000000014495,0,7.0000000000014495,7.0000000000014495,7.0000000000014495,14.000000000010004,0,14.000000000010004,14.000000000010004,14.000000000010004,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,7.202092613781979,0.010770464752404544,7.203477363855505,7.198238452468838,7.2059467750951205,853.6175886782702,2.079446981798228,853.9660893676953,852.8734681324798,854.3617092240605,184.7733417726129,1.5515914794940167,184.5586256832391,184.21811189242314,185.32857165280265,0.19062507090263386,0.001930987039425558,0.19095416549569044,0.1899340760649348,0.19131606574033294,0.009999999999990905,0,0.009999999999990905,0.009999999999990905,0.009999999999990905
P-DARC,72.92374198827218,0.1558918083984776,72.92676939860903,72.86795682107864,72.97952715546573,198,0,198,198,198,13.00000000000523,0,13.00000000000523,13.00000000000523,13.00000000000523,211.9999999999891,0,211.9999999999891,211.9999999999891,211.9999999999891,213.00000000000094,2.890758581290855e-14,213.00000000000097,213.00000000000094,213.00000000000094,213.00000000000816,8.672275743872566e-14,213.00000000000807,213.00000000000813,213.00000000000819,90.71193353765707,0.2274949206834424,90.76924989180519,90.63052552580331,90.79334154951084,874.5349031016527,2.422224579934316,874.6352106913906,873.668121167694,875.4016850356114,176.35146239693776,1.7871959777805393,176.14970540998445,175.71192252981868,176.99100226405685,0.17079308009278005,0.0021348142856597125,0.17126656159875003,0.17002914661175786,0.17155701357380224,0.9389999999999982,0.14059847450980062,0.9249999999999972,0.888687482053974,0.9893125179460224
P-DARC-noI,72.92374198827218,0.1558918083984776,72.92676939860903,72.86795682107864,72.97952715546573,198,0,198,198,198,13.00000000000523,0,13.00000000000523,13.00000000000523,13.00000000000523,211.9999999999891,0,211.9999999999891,211.9999999999891,211.9999999999891,213.00000000000094,2.890758581290855e-14,213.00000000000097,213.00000000000094,213.00000000000094,213.00000000000816,8.672275743872566e-14,213.00000000000807,213.00000000000813,213.00000000000819,90.71193353765707,0.2274949206834424,90.76924989180519,90.63052552580331,90.79334154951084,874.5349031016527,2.422224579934316,874.6352106913906,873.668121167694,875.4016850356114,176.35146239693776,1.7871959777805393,176.14970540998445,175.71192252981868,176.99100226405685,0.17079308009278005,0.0021348142856597125,0.17126656159875003,0.17002914661175786,0.17155701357380224,0.9389999999999982,0.14059847450980062,0.9249999999999972,0.888687482053974,0.9893125179460224
