Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,0,0,0,0,0,0,0,0,0,0,5.000000000009663,0,5.000000000009663,5.000000000009663,5.000000000009663,13.00000000000523,0,13.00000000000523,13.00000000000523,13.00000000000523,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,5.810883753800145,0.01097052266841161,5.8135024267031294,5.80695800268118,5.814809504919111,598.2608300377289,1.7166031612832726,598.309014046092,597.6465514855654,598.8751085898923,256.3767707735734,1.3711582021586344,256.25592637965735,255.88610811244948,256.8674334346974,0.1453025773910917,0.0019864664823315455,0.14481666436569246,0.1445917294897191,0.1460134252924643,0,0,0,0,0
AIMD,30.985690258648123,0.7033300765631106,31.12893767898541,30.734006823088563,31.237373694207683,190.96666666666667,1.8096167118144557,190,190.31910364291392,191.61422969041942,7.000000000005002,0,7.000000000005002,7.000000000005002,7.000000000005002,182.76666666666927,0.7279320417914495,182.99999999999983,182.50617953091756,183.02715380242097,192.2000000000022,0.40683810217023514,192.00000000000728,192.0544148548722,192.34558514513222,199.54793333333652,0.8368437391022333,199.500000000004,199.2484726472345,199.84739401943852,56.28817863100446,1.1428770366351972,56.550864003491256,55.879205335836886,56.69715192617204,615.7767777323211,1.781799181613571,616.0825492067827,615.139169083908,616.4143863807342,264.1938616992004,1.2957645288696318,263.7892253365876,263.7301783175715,264.6575450808293,0.12027837864120235,0.002188266331690312,0.12035404917067194,0.11949531759116105,0.12106143969124364,0,0,0,0,0
PIE,0,0,0,0,0,0,0,0,0,0,5.000000000009663,0,5.000000000009663,5.000000000009663,5.000000000009663,13.00000000000523,0,13.00000000000523,13.00000000000523,13.00000000000523,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,5.810883753800145,0.01097052266841161,5.8135024267031294,5.80695800268118,5.814809504919111,598.2608300377289,1.7166031612832726,598.309014046092,597.6465514855654,598.8751085898923,256.3767707735734,1.3711582021586344,256.25592637965735,255.88610811244948,256.8674334346974,0.1453025773910917,0.0019864664823315455,0.14481666436569246,0.1445917294897191,0.1460134252924643,0,0,0,0,0
P-DARC,39.27257602618301,0.16498052108070707,39.26823946543024,39.2135385049257,39.33161354744032,198,0,198,198,198,7.000000000005002,0,7.000000000005002,7.000000000005002,7.000000000005002,210.00000000000097,5.192647895405228e-13,210.00000000000085,210.00000000000077,210.00000000000117,212.99999999999673,1.3497603650166153e-12,212.9999999999974,212.99999999999625,212.99999999999721,213.00000000000816,8.672275743872566e-14,213.00000000000807,213.00000000000813,213.00000000000819,69.38975567669894,0.3225259261441931,69.44339611615241,69.27434125628105,69.50517009711683,619.554525205691,1.7456879339556877,619.7736260739139,618.9298388012935,620.1792116100885,265.6461647871657,1.2692707977587467,265.35031647271217,265.19196206545587,266.1003675088755,0.11488167918367333,0.0019739292972370207,0.11433446491031093,0.11417531765636886,0.1155880407109778,0,0,0,0,0
P-DARC-noI,39.27257602618301,0.16498052108070707,39.26823946543024,39.2135385049257,39.33161354744032,198,0,198,198,198,7.000000000005002,0,7.000000000005002,7.000000000005002,7.000000000005002,210.00000000000097,5.192647895405228e-13,210.00000000000085,210.00000000000077,210.00000000000117,212.99999999999673,1.3497603650166153e-12,212.9999999999974,212.99999999999625,212.99999999999721,213.00000000000816,8.672275743872566e-14,213.00000000000807,213.00000000000813,213.00000000000819,69.38975567669894,0.3225259261441931,69.44339611615241,69.27434125628105,69.50517009711683,619.554525205691,1.7456879339556877,619.7736260739139,618.9298388012935,620.1792116100885,265.6461647871657,1.2692707977587467,265.35031647271217,265.19196206545587,266.1003675088755,0.11488167918367333,0.0019739292972370207,0.11433446491031093,0.11417531765636886,0.1155880407109778,0,0,0,0,0
