Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,3.027878539933633,0.5987652425630661,3.0249556798036275,2.813613149665762,3.2421439302015043,49.266666666666666,11.512911292839078,47,45.1468242711393,53.38650906219403,9.000000000000341,0,9.000000000000341,9.000000000000341,9.000000000000341,33.40000000000079,4.92425383810201,34.000000000006025,31.63787839474101,35.162121605260566,50.766666666667014,9.637152724932529,49.99999999999716,47.31805585412263,54.215277479211395,66.63333333333232,13.171241748422712,63.999999999996504,61.92006500556858,71.34660166109606,11.543440274942514,0.7770013296489813,11.538969484614459,11.265393920041813,11.821486629843214,773.0411988423706,2.2187879506364787,773.3669712259641,772.2472157712596,773.8351819134816,156.7071992007927,1.8899967866259477,156.59874750914594,156.03087253667647,157.38352586490893,0.03338223991974897,0.0010567633300099812,0.0334043102902645,0.03300408201873902,0.033760397820758924,0.029499999999991644,0.03414850933284293,0.009999999999990905,0.017280112873699453,0.041719887126283835
AIMD,18.478989954088824,4.324725484854269,18.23837447156689,16.931406814748353,20.026573093429295,157.93333333333334,18.226417608805487,160,151.41109355632327,164.4555731103434,10.933333333337577,0.2537081317022252,11.000000000002785,10.842545044390455,11.0241216222847,122.96666666666823,21.40493551421741,122.99999999999756,115.30700886492242,130.62632446841403,164.95533333333532,21.361337736316788,170.99999999999937,157.31127679604617,172.59938987062446,199.73443333333697,21.575213523827287,204.99999999999474,192.01384232840968,207.45502433826425,30.945162806510385,5.417610916365593,30.63781892359139,29.006495638146333,32.88382997487444,797.7559586041773,2.1448001955533855,797.7317150779566,796.9884517111925,798.5234654971621,150.83504843384625,1.4983768959832686,150.9262857383115,150.2988611478042,151.37123571988832,0.0024775739930259525,0.002009958572982587,0.0026743589478718703,0.0017583195549779609,0.0031968284310739444,0.26549999999999585,0.18612356852000556,0.26500000000000057,0.19889653638497573,0.33210346361501597
PIE,3.027878539933633,0.5987652425630661,3.0249556798036275,2.813613149665762,3.2421439302015043,49.266666666666666,11.512911292839078,47,45.1468242711393,53.38650906219403,9.000000000000341,0,9.000000000000341,9.000000000000341,9.000000000000341,33.40000000000079,4.92425383810201,34.000000000006025,31.63787839474101,35.162121605260566,50.766666666667014,9.637152724932529,49.99999999999716,47.31805585412263,54.215277479211395,66.63333333333232,13.171241748422712,63.999999999996504,61.92006500556858,71.34660166109606,11.543440274942514,0.7770013296489813,11.538969484614459,11.265393920041813,11.821486629843214,773.0411988423706,2.2187879506364787,773.3669712259641,772.2472157712596,773.8351819134816,156.7071992007927,1.8899967866259477,156.59874750914594,156.03087253667647,157.38352586490893,0.03338223991974897,0.0010567633300099812,0.0334043102902645,0.03300408201873902,0.033760397820758924,0.029499999999991644,0.03414850933284293,0.009999999999990905,0.017280112873699453,0.041719887126283835
P-DARC,24.47630346833947,7.8057980630983055,24.266466657575343,21.68303450505994,27.269572431619,149.06666666666666,12.787206249926562,153.5,144.49082367710352,153.6425096562298,10.933333333341247,0.25370813170322315,11.00000000000989,10.842545044393768,11.024121622288726,149.90000000000046,30.53471738066787,158.50000000000364,138.97329171566173,160.8267082843392,178.0000000000042,23.570876243715052,187.5000000000008,169.56527026235855,186.43472973764986,193.46446666666907,18.182929164906366,200.99999999999696,186.9577890294457,199.97114430389243,38.41874708421235,9.74776515814515,38.2888602643847,34.93055412079139,41.906940047633306,798.9135869812245,2.4426274138048796,799.1135960725474,798.0395039869319,799.7876699755171,149.79808195336685,1.7678465473577516,149.9257326427035,149.16546619099915,150.43069771573454,0.0010325172264454218,0.001053617525672134,0.0007737393510061628,0.0006554850370603963,0.0014095494158304473,0.358499999999997,0.20764753790979726,0.36999999999999744,0.2841942828579083,0.43280571714208566
P-DARC-noI,24.47630346833947,7.8057980630983055,24.266466657575343,21.68303450505994,27.269572431619,149.06666666666666,12.787206249926562,153.5,144.49082367710352,153.6425096562298,10.933333333341247,0.25370813170322315,11.00000000000989,10.842545044393768,11.024121622288726,149.90000000000046,30.53471738066787,158.50000000000364,138.97329171566173,160.8267082843392,178.0000000000042,23.570876243715052,187.5000000000008,169.56527026235855,186.43472973764986,193.46446666666907,18.182929164906366,200.99999999999696,186.9577890294457,199.97114430389243,38.41874708421235,9.74776515814515,38.2888602643847,34.93055412079139,41.906940047633306,798.9135869812245,2.4426274138048796,799.1135960725474,798.0395039869319,799.7876699755171,149.79808195336685,1.7678465473577516,149.9257326427035,149.16546619099915,150.43069771573454,0.0010325172264454218,0.001053617525672134,0.0007737393510061628,0.0006554850370603963,0.0014095494158304473,0.358499999999997,0.20764753790979726,0.36999999999999744,0.2841942828579083,0.43280571714208566
