Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,0,0,0,0,0,0,0,0,0,0,6.000000000000227,0,6.000000000000227,6.000000000000227,6.000000000000227,13.00000000000523,0,13.00000000000523,13.00000000000523,13.00000000000523,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,6.638881649323011,0.013412308751310663,6.6372250734591525,6.634082116276151,6.643681182369871,773.041198842371,2.2187879506363073,773.3669712259649,772.24721577126,773.8351819134821,187.5005573429941,1.5321548115531114,187.08302691563367,186.95228278510066,188.04883190088756,0.03338223991974897,0.0010567633300099812,0.0334043102902645,0.03300408201873902,0.033760397820758924,0,0,0,0,0
AIMD,0.693608800400018,0.038076788907822796,0.6914632483294696,0.6799831964812624,0.7072344043187737,18.2,3.055802846140889,18.5,17.10649499525503,19.29350500474497,7.000000000005002,0,7.000000000005002,7.000000000005002,7.000000000005002,16.00000000000173,2.9312519784179305e-12,16.00000000000179,16.000000000000682,16.000000000002778,19.833333333336974,0.37904902178862226,20.00000000000135,19.697692382909494,19.968974283764453,25.127766666668112,1.0646378592110555,25.000000000003944,24.74679090157303,25.508742431763196,7.690239529456961,0.060488881951484795,7.6792746715987406,7.668593861043205,7.711885197870717,799.7408973135134,2.8026053790444574,800.0227283058318,798.7379978587333,800.7437967682936,186.15979462291634,1.5573321807656395,186.06325417351613,185.60251045915942,186.71707878667326,0,0,0,0,0,0,0,0,0,0
PIE,0,0,0,0,0,0,0,0,0,0,6.000000000000227,0,6.000000000000227,6.000000000000227,6.000000000000227,13.00000000000523,0,13.00000000000523,13.00000000000523,13.00000000000523,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,15.000000000000568,0,15.000000000000568,15.000000000000568,15.000000000000568,6.638881649323011,0.013412308751310663,6.6372250734591525,6.634082116276151,6.643681182369871,773.041198842371,2.2187879506363073,773.3669712259649,772.24721577126,773.8351819134821,187.5005573429941,1.5321548115531114,187.08302691563367,186.95228278510066,188.04883190088756,0.03338223991974897,0.0010567633300099812,0.0334043102902645,0.03300408201873902,0.033760397820758924,0,0,0,0,0
P-DARC,0.693608800400018,0.038076788907822796,0.6914632483294696,0.6799831964812624,0.7072344043187737,18.2,3.055802846140889,18.5,17.10649499525503,19.29350500474497,7.000000000005002,0,7.000000000005002,7.000000000005002,7.000000000005002,16.00000000000173,2.9312519784179305e-12,16.00000000000179,16.000000000000682,16.000000000002778,19.833333333336974,0.37904902178862226,20.00000000000135,19.697692382909494,19.968974283764453,25.127766666668112,1.0646378592110555,25.000000000003944,24.74679090157303,25.508742431763196,7.690239529456961,0.060488881951484795,7.6792746715987406,7.668593861043205,7.711885197870717,799.7408973135134,2.8026053790444574,800.0227283058318,798.7379978587333,800.7437967682936,186.15979462291634,1.5573321807656395,186.06325417351613,185.60251045915942,186.71707878667326,0,0,0,0,0,0,0,0,0,0
P-DARC-noI,0.693608800400018,0.038076788907822796,0.6914632483294696,0.6799831964812624,0.7072344043187737,18.2,3.055802846140889,18.5,17.10649499525503,19.29350500474497,7.000000000005002,0,7.000000000005002,7.000000000005002,7.000000000005002,16.00000000000173,2.9312519784179305e-12,16.00000000000179,16.000000000000682,16.000000000002778,19.833333333336974,0.37904902178862226,20.00000000000135,19.697692382909494,19.968974283764453,25.127766666668112,1.0646378592110555,25.000000000003944,24.74679090157303,25.508742431763196,7.690239529456961,0.060488881951484795,7.6792746715987406,7.668593861043205,7.711885197870717,799.7408973135134,2.8026053790444574,800.0227283058318,798.7379978587333,800.7437967682936,186.15979462291634,1.5573321807656395,186.06325417351613,185.60251045915942,186.71707878667326,0,0,0,0,0,0,0,0,0,0
