Algorithm,q_mean_mean,q_mean_std,q_mean_median,q_mean_ci95_lo,q_mean_ci95_hi,q_max_mean,q_max_std,q_max_median,q_max_ci95_lo,q_max_ci95_hi,p50_mean,p50_std,p50_median,p50_ci95_lo,p50_ci95_hi,p95_mean,p95_std,p95_median,p95_ci95_lo,p95_ci95_hi,p99_mean,p99_std,p99_median,p99_ci95_lo,p99_ci95_hi,p999_mean,p999_std,p999_median,p999_ci95_lo,p999_ci95_hi,d_mean_mean,d_mean_std,d_mean_median,d_mean_ci95_lo,d_mean_ci95_hi,tp_mean_mean,tp_mean_std,tp_mean_median,tp_mean_ci95_lo,tp_mean_ci95_hi,tp_std_mean,tp_std_std,tp_std_median,tp_std_ci95_lo,tp_std_ci95_hi,reject_rate_mean,reject_rate_std,reject_rate_median,reject_rate_ci95_lo,reject_rate_ci95_hi,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_ci95_lo,recovery_time_ci95_hi
Fixed Backpressure,42.29120414564299,11.718224399890747,44.967884903859265,38.097891398327626,46.48451689295836,193.33333333333334,25.550940779404655,205,184.1900466014991,202.4766200651676,10.96666666666337,0.1825741858334668,10.99999999999568,10.901333333330605,11.031999999996135,202.3166666666697,35.60983091045479,218.9999999999941,189.57385232971717,215.05948100362224,217.70000000000675,31.63138990917485,233.0000000000112,206.38085249138913,229.01914750862437,226.98923333333823,29.51940557022487,241.00000000000676,216.42584971423378,237.5526169524427,59.71235679305571,14.49742072566406,63.059914395407276,54.52452141309082,64.9001921730206,807.9479370274275,1.8411027757896414,808.532206009351,807.2891068603838,808.6067671944713,208.96873069545197,1.2810363012622048,209.019538771474,208.5103177423849,209.42714364851903,0.05440194676746867,0.0020603949056941864,0.054142596856783354,0.05366464391955328,0.055139249615384064,0,0,0,0,0
AIMD,30.33114687031229,1.0412972178171518,30.22105550252284,29.95852344647195,30.703770294152626,193.46666666666667,2.8373534698101457,193,192.45133276730002,194.48200056603332,11.00000000000847,2.8907585812908553e-12,11.00000000000989,11.000000000007436,11.000000000009504,183.4000000000037,2.6208711370909312,183.50000000000222,182.46213330849906,184.33786669150834,208.83833333333752,0.8384800835889785,209.00000000000318,208.5382870888812,209.13837957779384,222.20000000000337,0.9613209302983615,222.0000000000084,221.85599572309954,222.5440042769072,44.613181628995484,1.24831531605704,44.414057249769336,44.16647773010618,45.05988552788479,815.4200948527836,2.525988602615538,815.2688758579804,814.5161814401832,816.3240082653839,209.73905073578402,1.2507222368717106,209.6751852386485,209.29148553134283,210.1866159402252,0.04565242813113358,0.003033175818233697,0.04576676925999524,0.04456702010433673,0.046737836157930424,0,0,0,0,0
PIE,36.101059139051785,8.618297671389929,38.74417018955407,33.01704092500097,39.1850773531026,172.63333333333333,16.514326765137813,177,166.7237573963655,178.54290927030115,10.93333333333,0.253708131700165,10.99999999999568,10.842545044383614,11.024121622276384,174.88333333333608,23.037706473087876,184.0000000000046,166.6393959477873,183.12727071888486,191.88333333333793,19.81582584761478,199.9999999999993,184.792331122614,198.97433554406186,203.3555833333371,19.09307499577969,210.00000000000796,196.52321419335053,210.1879524733237,52.063597132368194,10.666807489924022,55.34951331893696,48.24652909422118,55.88066517051521,807.6830765034647,1.8774426576260492,808.1230965043737,807.0112422767153,808.3549107302141,208.967814417503,1.259722352836936,209.01674312701113,208.51702856292604,209.41860027207997,0.05471184831811353,0.002143289521046843,0.05451448913245996,0.05394488201305822,0.05547881462316884,0,0,0,0,0
P-DARC,53.895740715487065,0.5340047730508891,53.92117823537434,53.70464956161034,54.08683186936379,175.6,1.0372377109252808,175,175.2288292520444,175.9711707479556,12.000000000000455,0,12.000000000000455,12.000000000000455,12.000000000000455,192.31666666667022,0.5942734383566505,192.00000000000728,192.10400864789435,192.52932468544608,198.83333333333485,0.46113303737483385,198.99999999999807,198.66831899516856,198.99834767150114,203.93333333333604,0.44977644510477743,204.00000000000063,203.77238289952138,204.0942837671507,72.78342286790999,0.6388917367822201,72.85103661160232,72.55479839609767,73.01204733972232,825.1696289225148,2.207898571218374,825.4329742260902,824.3795425657835,825.9597152792461,205.85954560659013,1.279107524270787,205.88339601523893,205.40182285750524,206.31726835567503,0.03424253150542981,0.0024066248212298276,0.03422639409781515,0.033381331873430724,0.035103731137428894,0,0,0,0,0
P-DARC-noI,55.879585435701635,0.6203496443878947,55.8853129687713,55.65759616643755,56.10157470496572,182.03333333333333,1.4967397519467005,182,181.49773189176082,182.56893477490584,12.000000000000455,0,12.000000000000455,12.000000000000455,12.000000000000455,199.20000000000408,0.9247553264452828,199.00000000000517,198.86908055639222,199.53091944361594,206.0500000000031,0.5923361114812449,206.00000000000307,205.8380352447461,206.26196475526012,211.04216666667125,0.6163542467378764,210.99999999999852,210.82160713209433,211.26272620124817,75.18364362848466,0.7450039894529707,75.27380742529257,74.9170473747209,75.45023988224843,825.2217525038898,2.21807441440882,825.5011591435866,824.4280247684386,826.015480239341,205.85185213535976,1.283980266018036,205.87633343922445,205.3923856980346,206.31131857268494,0.03418155389946454,0.002408517574289289,0.0341625649286721,0.03331967695448177,0.03504343084444731,0,0,0,0,0
